caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,703008,3.1433774701568447e-06,-1.9297353264805675e-06,-0.001621298183209518,-2.881308332099937e-05,-1.9525973635770196e-06,-6.636106741264627e-13
G,704001,3.7248572584772564e-05,1.2371793461718559e-05,-0.0023140602224472214,6.872446038915226e-06,-4.5527852628947785e-05,4.1930905365130984e-13
G,704002,3.724857290250869e-05,1.2371797647750612e-05,-0.0023469578480492135,7.564853841840641e-06,-2.1502457399665715e-05,4.1930905347702893e-13
G,704003,3.7248572849408507e-05,1.2371802700804186e-05,-0.0005810572291718406,-3.6282600998065234e-05,3.4561317679749108e-06,4.192457983726917e-13
G,704004,3.724857628730015e-05,1.2371790036440196e-05,-0.00256028881181224,-5.170541091010272e-06,0.00015028265140810019,4.193090547491926e-13
G,704005,3.7248576633974714e-05,1.2371793373732517e-05,-0.0029081613188998196,-1.5108340042992204e-05,6.940117349545659e-05,4.1930905336744567e-13
G,704006,3.7248576714578105e-05,1.2371797565714517e-05,-0.0030785921520920137,-1.483520978929634e-05,1.560114756837897e-05,4.1930905344403566e-13
G,704007,3.724857943110079e-05,1.237179332151196e-05,-0.0018457404135499343,-2.1877526834952577e-05,-2.5123882625737573e-05,4.193090531407175e-13
G,704008,3.724857971693387e-05,1.2371797513977488e-05,-0.0018863580394476555,-2.5205315851127198e-05,1.4454452170690543e-05,4.193090533973688e-13
G,705001,0.00014123616778348078,1.652952779518088e-05,-0.0024539278699304812,3.733361532263274e-05,0.00010876224439074697,1.1333009254860817e-12
G,705002,0.0001412361677026812,1.652953913652949e-05,-0.0025074177896811374,3.300931244686037e-05,4.9547569039193185e-05,1.1333009254128204e-12
G,705003,0.0001412361677326968,1.652955060797407e-05,-0.0005874648942818406,1.6566395988740994e-05,3.7661174602106594e-05,1.133300925472072e-12
G,705004,0.0001412361788373952,1.6529519687588577e-05,-0.002716425839670746,-0.0001214161680407564,0.0003343262397492335,1.1333009219424242e-12
G,705005,0.00014123617804118898,1.652952799693635e-05,-0.003098981183036643,-2.855271097688331e-05,6.844962864120565e-05,1.1333009255254087e-12
G,705006,0.00014123617768767706,1.6529539329830623e-05,-0.0032806988440572016,-2.8775763157107216e-05,-3.170937005033302e-05,1.1333009254561876e-12
G,705007,0.00014123618611689654,1.652952808983047e-05,-0.0019598046345702096,-6.224011161096826e-05,0.00010168749646718875,1.1333009255006482e-12
G,705008,0.00014123618595357626,1.652953943774353e-05,-0.0020128385316902082,-6.540312138999639e-05,-9.018943577002014e-06,1.133300925515166e-12
G,900000,-1.0198389232171877e-12,2.8206900826576526e-12,-0.00017080747256298517,-5.389649940313043e-06,5.383904478516074e-06,-2.058972484934438e-14
G,900001,-3.869713505606454e-13,1.6033472734987495e-12,-0.00013882663232569188,-1.0185861598938559e-07,-3.6074258959436883e-06,-5.5793569133642437e-14
G,900002,2.325617249616229e-13,3.2354136986627543e-12,-0.00013882663980915261,-1.0185857932154843e-07,-3.607427316617278e-06,-5.586133316618979e-14
G,900003,-7.4584411342811e-13,2.971432448175724e-12,-0.00018827504611812102,5.9317383425020575e-06,7.619143243152394e-06,-2.0648063596150697e-14
G,900004,1.534012025354165e-14,3.2211963623848744e-12,-0.00020826559473964066,-2.497882800525011e-05,-6.148439135432893e-05,-5.6336835609830145e-14
