kind,id,type,i,j,x_m,y_m,z_m,level,status
N,900055,NODE,,,,-32.05,4.265,7.92,2,MANUAL_BEAM_NODE
N,900056,NODE,,,,-24.55,4.265,7.92,2,MANUAL_BEAM_NODE
N,900057,NODE,,,,-28.3,0.0,7.92,2,MANUAL_BEAM_NODE
N,900058,NODE,,,,-28.3,16.15,7.92,2,MANUAL_BEAM_NODE
N,900059,NODE,,,,-24.55,0.0,7.92,2,MANUAL_BEAM_NODE
N,900060,NODE,,,,-24.55,16.15,7.92,2,MANUAL_BEAM_NODE
N,900061,NODE,,,,-15.8,0.0,7.92,2,MANUAL_BEAM_NODE
N,900062,NODE,,,,-15.8,16.15,7.92,2,MANUAL_BEAM_NODE
N,900063,NODE,,,,-5.8,0.0,7.92,2,MANUAL_BEAM_NODE
N,900064,NODE,,,,-5.8,16.15,7.92,2,MANUAL_BEAM_NODE
N,900065,NODE,,,,-32.05,0.0,11.88,3,MANUAL_BEAM_NODE
N,900066,NODE,,,,-0.25,0.0,11.88,3,MANUAL_BEAM_NODE
N,900067,NODE,,,,-0.25,7.25,11.88,3,MANUAL_BEAM_NODE
N,900068,NODE,,,,-32.05,16.15,11.88,3,MANUAL_BEAM_NODE
N,900069,NODE,,,,-0.25,16.15,11.88,3,MANUAL_BEAM_NODE
N,900070,NODE,,,,-32.05,11.885,11.88,3,MANUAL_BEAM_NODE
N,900071,NODE,,,,-24.55,11.885,11.88,3,MANUAL_BEAM_NODE
N,900072,NODE,,,,-32.05,4.265,11.88,3,MANUAL_BEAM_NODE
N,900073,NODE,,,,-24.55,4.265,11.88,3,MANUAL_BEAM_NODE
N,900074,NODE,,,,-28.3,0.0,11.88,3,MANUAL_BEAM_NODE
N,900075,NODE,,,,-28.3,16.15,11.88,3,MANUAL_BEAM_NODE
N,900076,NODE,,,,-24.55,0.0,11.88,3,MANUAL_BEAM_NODE
N,900077,NODE,,,,-24.55,16.15,11.88,3,MANUAL_BEAM_NODE
N,900078,NODE,,,,-15.8,0.0,11.88,3,MANUAL_BEAM_NODE
N,900079,NODE,,,,-15.8,16.15,11.88,3,MANUAL_BEAM_NODE
N,900080,NODE,,,,-5.8,0.0,11.88,3,MANUAL_BEAM_NODE
N,900081,NODE,,,,-5.8,16.15,11.88,3,MANUAL_BEAM_NODE
N,900082,NODE,,,,-32.05,0.0,15.84,4,MANUAL_BEAM_NODE
N,900083,NODE,,,,-0.25,0.0,15.84,4,MANUAL_BEAM_NODE
N,900084,NODE,,,,-0.25,7.25,15.84,4,MANUAL_BEAM_NODE
N,900085,NODE,,,,-32.05,16.15,15.84,4,MANUAL_BEAM_NODE
N,900086,NODE,,,,-0.25,16.15,15.84,4,MANUAL_BEAM_NODE
N,900087,NODE,,,,-32.05,11.885,15.84,4,MANUAL_BEAM_NODE
N,900088,NODE,,,,-24.55,11.885,15.84,4,MANUAL_BEAM_NODE
N,900089,NODE,,,,-32.05,4.265,15.84,4,MANUAL_BEAM_NODE
N,900090,NODE,,,,-24.55,4.265,15.84,4,MANUAL_BEAM_NODE
N,900091,NODE,,,,-28.3,0.0,15.84,4,MANUAL_BEAM_NODE
N,900092,NODE,,,,-28.3,16.15,15.84,4,MANUAL_BEAM_NODE
N,900093,NODE,,,,-24.55,0.0,15.84,4,MANUAL_BEAM_NODE
N,900094,NODE,,,,-24.55,16.15,15.84,4,MANUAL_BEAM_NODE
N,900095,NODE,,,,-15.8,0.0,15.84,4,MANUAL_BEAM_NODE
N,900096,NODE,,,,-15.8,16.15,15.84,4,MANUAL_BEAM_NODE
N,900097,NODE,,,,-5.8,0.0,15.84,4,MANUAL_BEAM_NODE
N,900098,NODE,,,,-5.8,16.15,15.84,4,MANUAL_BEAM_NODE
N,900099,NODE,,,,-32.05,0.0,19.8,5,MANUAL_BEAM_NODE
N,900100,NODE,,,,-0.25,0.0,19.8,5,MANUAL_BEAM_NODE
N,900101,NODE,,,,-32.05,16.15,19.8,5,MANUAL_BEAM_NODE
N,900102,NODE,,,,-0.25,16.15,19.8,5,MANUAL_BEAM_NODE
N,900103,NODE,,,,-32.05,11.885,19.8,5,MANUAL_BEAM_NODE
N,900104,NODE,,,,-24.55,11.885,19.8,5,MANUAL_BEAM_NODE
