caso,bloque,z_m,cm_x_m,cm_y_m,fuerza_kN,ux_cm_m,uy_cm_m,rz_rad,ux_master_m,uy_master_m,master_x_m,master_y_m
Q,LT1,7.92,21.47951562275455,7.880785872667446,0.0,-2.9664931914034777e-06,5.783979269957493e-06,-1.3696337751036011e-10,-2.9675725704540342e-06,5.786921176964472e-06,0.0,0.0
Q,LT2,7.92,-17.894092051651988,8.299402816317036,0.0,2.268515397171384e-06,1.9617725234469716e-05,-1.989570539058245e-12,2.26849903613141e-06,1.9617753398647124e-05,-32.05,0.07599999999999985
Q,LT1,11.88,20.881144798066217,7.468772582357824,0.0,1.1990134454760365e-05,2.2081570853209888e-05,1.7308700120275719e-07,1.3282881903706054e-05,1.8467316118432054e-05,0.0,0.0
Q,LT2,11.88,-17.89378631441425,8.300052781071832,0.0,1.6139042367335672e-05,3.668134249293661e-05,-2.5305208002353548e-12,1.6139023031492674e-05,3.668137831552979e-05,-32.05,0.6589999999999998
Q,LT1,15.84,23.810153513520955,7.538736994116187,0.0,5.2799119864135036e-05,5.761340022162456e-05,2.7010013087046455e-11,5.2799323485519906e-05,5.761275710906655e-05,0.0,0.0
Q,LT2,15.84,-17.713412956672663,8.33120675955472,0.0,5.279933303015399e-05,5.761265518775371e-05,5.902687260353831e-12,5.2799374875524415e-05,5.7612570563364015e-05,-32.05,1.2419999999999998
Q,LT1,19.8,24.81062267798547,7.029230343813884,0.0,0.00013213331597624714,0.00011608118890713055,-2.043314184610582e-09,0.00013211895305017873,0.0001161318848043775,0.0,0.0
Q,LT2,19.8,-18.231988668591963,8.262057924227996,0.0,0.00011372519736201508,6.374488614085636e-05,1.3916237265453689e-12,0.00011372520631997761,6.374486691138394e-05,-32.05,1.825
EX,LT1,3.96,9.581286738801698,8.280217117998859,942.3405419463647,3.542368625499971e-11,2.542062592222402e-11,-9.069043273588942e-13,2.7914321519215355e-11,3.410993632730967e-11,0.0,0.0
EX,LT2,3.96,-17.6408629658982,8.281091931580269,1664.6472109429958,0.00041470861974057235,-4.919667162799628e-07,4.255452336454476e-13,0.00041470862326455153,-4.919726905678122e-07,-31.679999999999996,0.0
EX,LT1,7.92,21.47951562275455,7.880785872667446,2491.889777770913,0.0008075951375663503,-3.668726079804498e-06,1.2105477316898512e-08,0.0008076905382409712,-3.92874586895372e-06,0.0,0.0
EX,LT2,7.92,-17.894092051651988,8.299402816317036,1640.2788132199933,0.0013647296049551611,-4.304479820667798e-06,-1.4938191435438397e-12,0.0013647295926708847,-4.3044586743015105e-06,-32.05,0.07599999999999985
EX,LT1,11.88,20.881144798066217,7.468772582357824,2465.011742753363,0.0025610354524264337,2.694103284247607e-05,1.1895722729849352e-06,0.0025699200972036365,2.1014019625128806e-06,0.0,0.0
EX,LT2,11.88,-17.89378631441425,8.300052781071832,1640.2788115335272,0.0027334656199366277,-1.1305703554859422e-05,-3.688931141300363e-12,0.00273346559174931,-1.1305651333561915e-05,-32.05,0.6589999999999998
EX,LT1,15.84,23.810153513520955,7.538736994116187,2665.686332588125,0.004047582259001606,-1.7399512353064506e-05,-1.6001920519215806e-11,0.004047582138367336,-1.739913134488043e-05,0.0,0.0
EX,LT2,15.84,-17.713412956672663,8.33120675955472,1653.3547151448129,0.004047582131912062,-1.7399107644253273e-05,-1.4014221259743918e-12,0.004047582121977091,-1.739908755264298e-05,-32.05,1.2419999999999998
EX,LT1,19.8,24.81062267798547,7.029230343813884,2952.2666687993838,0.005209937482003264,-7.232151410106923e-05,1.474530086583566e-09,0.005209947846814892,-7.235809811067479e-05,0.0,0.0
EX,LT2,19.8,-18.231988668591963,8.262057924227996,1286.161795153294,0.004895572699848361,-2.014742425444858e-05,-1.1617609441762604e-12,0.004895572692370038,-2.014740820122269e-05,-32.05,1.825
EY,LT1,3.96,9.581286738801698,8.280217117998859,942.3405419463647,-2.2090068734100885e-13,4.461934786848978e-11,-9.60917104170643e-13,-8.17750294227266e-12,5.3826170175767695e-11,0.0,0.0
EY,LT2,3.96,-17.6408629658982,8.281091931580269,1664.6472109429958,6.26297909364796e-08,0.00055109236678441,-8.147148758482358e-11,6.195511805798707e-08,0.0005510935105737885,-31.679999999999996,0.0
EY,LT1,7.92,21.47951562275455,7.880785872667446,2491.889777770913,-1.5891653144228788e-06,0.0004201439773559805,-1.9337330298007088e-08,-1.7415586738505173e-06,0.0004205593338442189,0.0,0.0
EY,LT2,7.92,-17.894092051651988,8.299402816317036,1640.2788132199933,2.411321506821963e-07,0.0012667704600285122,-2.0438299545684045e-11,2.4096407831215163e-07,0.0012667707493511991,-32.05,0.07599999999999985
