caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,703004,-2.468871163896043e-05,-1.8188468376134443e-05,-0.0022137180599896217,-2.4956251851997024e-05,0.00017026858037219258,-8.006076041261992e-12
G,703005,-2.4688711685390306e-05,-1.8188528453538717e-05,-0.002502392846634459,-1.585227964516016e-05,5.46111956774382e-05,-8.00607604103882e-12
G,703006,-2.4688711663292947e-05,-1.8188608514447852e-05,-0.0026649505678812695,-1.542508627349447e-05,5.3910313535675394e-06,-8.006076041123147e-12
G,703007,-2.4688769691774354e-05,-1.8188528454222337e-05,-0.001591028201369117,-2.6959197878002362e-05,-1.7787630183759903e-05,-8.00607604102189e-12
G,703008,-2.468876969911065e-05,-1.8188608516956225e-05,-0.0016331705598366284,-3.001140028863915e-05,7.833291018653385e-06,-8.006076041042224e-12
G,704001,-4.180899907178827e-11,1.1711383921455222e-10,-0.002313788342702137,6.0084438258569195e-06,-5.0322243080677295e-05,2.5415776952847325e-12
G,704002,-4.149393328313846e-11,1.4252326346296735e-10,-0.00234849930331499,6.926542665391931e-06,-2.6730856562022476e-05,2.541577695113658e-12
G,704003,-4.1521192584185986e-11,1.6895883865508012e-10,-0.0005872503611373548,-3.624022479592541e-05,3.1948299693797495e-06,2.5416199745557416e-12
G,704004,-1.921316489513769e-11,9.77713422002476e-11,-0.0025623705217653124,-6.014780964752726e-06,0.00014474184889867904,2.541577696460348e-12
G,704005,-1.8871201510809503e-11,1.1702595179515185e-10,-0.0029060680382241907,-1.586494571416241e-05,6.523801405225834e-05,2.5415776950019987e-12
G,704006,-1.8786503128586132e-11,1.4244106471724554e-10,-0.0030940882763852793,-1.5452004251697546e-05,1.4850664859266146e-05,2.5415776950685205e-12
G,704007,-6.864286766056357e-13,1.1697376135318053e-10,-0.0018442906182901933,-2.2687036943747064e-05,-2.940671261405417e-05,2.5415776947750596e-12
G,704008,-4.1155212228582095e-13,1.4238885341684212e-10,-0.0018997446667352723,-2.6110331221520466e-05,1.0878995751714556e-05,2.541577695017683e-12
G,705001,6.0049361810154456e-05,8.287400546637723e-06,-0.002453557542784938,3.647143046460907e-05,0.00010362031430249842,-3.880945420401585e-13
G,705002,6.004936173255579e-05,8.287396671887044e-06,-0.0025091870107216262,3.285544085754206e-05,4.6233722495638054e-05,-3.8809454214414386e-13
G,705003,6.004936174367039e-05,8.28739293110095e-06,-0.0005936580262473549,1.498101240846941e-05,2.1148571100485494e-05,-3.880945420529795e-13
G,705004,6.004935931685416e-05,8.287403849225971e-06,-0.00271875940957156,-0.00012217379333905146,0.0003269713879277546,-3.880945456453128e-13
G,705005,6.0049358526772656e-05,8.287400747453402e-06,-0.0030966481358407063,-2.9112998948070725e-05,6.238453148210039e-05,-3.8809454200261207e-13
G,705006,6.004935821336114e-05,8.28739686524295e-06,-0.00329694909474882,-2.8975004574977363e-05,-2.372287291811206e-05,-3.880945421020843e-13
G,705007,6.0049355571196795e-05,8.287400840811415e-06,-0.0019580954311715945,-6.294952819641905e-05,9.523413986029261e-05,-3.880945420266085e-13
G,705008,6.004935544765126e-05,8.287396975419561e-06,-0.0020273130174169015,-6.630001375694929e-05,1.1427682851310565e-06,-3.8809454206418255e-13
G,900000,-1.0573219107333184e-05,-1.0246461776621959e-05,-0.00017090423722628163,-3.0781401117508834e-06,2.9523695600100733e-06,-1.0582798350111276e-12
G,900001,-2.593124663866559e-13,-1.9356860669813753e-12,-0.00016775948917956384,-4.937865328099152e-06,-3.221992474732089e-05,-1.3679622317603006e-15
G,900002,8.419184808924319e-13,3.668735355160853e-12,-0.00038060645993975205,-1.407741295040094e-05,-0.00011705536522639302,3.3426904871731033e-15
G,900003,-1.0573202401859936e-05,-1.0246461630097458e-05,-0.00018836268667360805,8.242596113985705e-06,5.184363859748384e-06,-1.0583848710307286e-12
