caso,panel_id,source_wall_id,floor,z_cut_m,P_compresion_kN,M_principal_kNm,V_en_plano_kN,V_fuera_plano_kN,M_vertical_kNm,shells_corte,terminos_nodales
EY,102,1,2,3.96,-7.627608545656813,-3592.38360945997,-1739.6190178364145,0.07364586772755823,-1.3519228246543225e-05,1,2
EY,103,1,3,7.92,-4.506635683678269,-3719.2333731744693,-1898.312675274561,1.5969638434224156,-4.50908773119707e-06,1,2
EY,104,1,4,11.88,-1.8310299974166355,-2696.0413244216898,-1407.669822740499,0.12125858816559121,-4.008068129682241e-06,1,2
EY,105,1,5,15.84,-0.4314923556224244,-621.9254824407611,-354.64801990805313,7.35813086254524,1.0345158036884072e-06,1,2
EY,201,2,1,0.0,-2.785971398124796,-0.06975762694424481,-0.05299949433948792,58.77113913651678,2.3093618573000185e-06,1,2
EY,202,2,2,3.96,-2.420423805965402,-0.5105985738409244,-0.1882895700329012,-226.36122649965364,-2.5514364665468747e-07,1,2
EY,203,2,3,7.92,-1.430064311762636,-2.1187764286209627,-1.0985301155998692,-207.76075887144822,1.1843256260135604e-06,1,2
EY,204,2,4,11.88,-0.5810301479609317,-7.794280466043688,-3.2695279111946496,-166.7431052357751,7.472644227846104e-07,1,2
EY,205,2,5,15.84,-0.13692283970374675,-20.213304639323873,-10.119073868403396,-26.395815358028706,8.364509334057857e-07,1,2
EY,301,3,1,0.0,5.867763067890401,146.94871390365952,111.3272299879575,0.19131925850862547,1.7545111723749063e-05,1,2
EY,302,3,2,3.96,5.075170652618681,-3598.543108789542,-1742.6155187065829,-0.47476359891384357,-1.3582761491437445e-05,1,2
EY,303,3,3,7.92,2.912540712385635,-3725.458230881363,-1901.4246556559676,0.7390820273737662,-4.530278278847e-06,1,2
EY,304,3,4,11.88,1.0658177553243604,-2700.873622610814,-1410.412956023045,-0.34479759106117613,-4.026904316778435e-06,1,2
EY,305,3,5,15.84,0.16890900671671716,-622.2594498796444,-354.2014531714564,6.924687763183086,2.090365776474812e-06,1,2
EY,401,4,1,0.0,1.8587942028082884,-0.04826243265054608,-0.036472663882268774,58.77874462380062,2.3098908279450825e-06,1,2
EY,402,4,2,3.96,1.6077158986904352,-0.3499725687428048,-0.08380302552549707,-226.36787445210757,-2.557912210932045e-07,1,2
EY,403,4,3,7.92,0.922636952836867,-1.7877015830103664,-0.9348773934728541,-207.68466239509888,1.184245164154163e-06,1,2
EY,404,4,4,11.88,0.33763097868614533,-7.576251185721571,-3.1808384224524895,-166.9165982423994,7.463584097422427e-07,1,2
EY,405,4,5,15.84,0.053507582591212355,-20.085468828085816,-10.034338538551404,-25.83887285222509,7.95191372304771e-07,1,2
EY,501,5,1,0.0,-8.768598400860899,172.63573955362943,130.7857007818223,-0.4638815978058062,0.00019241909320241724,4,8
EY,502,5,2,3.96,-6.098066091985686,-4033.1948763463606,-1944.179294901342,0.812471964958102,-0.0001489523754747979,4,8
EY,503,5,3,7.92,-7.1363516662960365,-4152.119308105789,-2129.0548601700875,-1.1013341923159896,-4.970319114883104e-05,4,8
EY,504,5,4,11.88,-258.93813961954925,-2992.2643409220427,-1545.4824087558638,-9.217593176226707,-4.415064357043974e-05,4,8
EY,505,5,5,15.84,-2.2737367544323206e-13,-1067.810194073145,-269.6490389073597,0.0004364788777665299,1.4412590349955766e-07,4,8
EY,601,6,1,0.0,-421.9682753205785,-1008.9139284681385,450.6940133560935,-0.2738120974436895,-0.7257053991614629,3,6
EY,602,6,2,3.96,-369.8091881003412,-2959.0697574266505,-639.2620225148395,0.3386910802470827,0.9430125563956333,3,6
EY,603,6,3,7.92,-145.8655699253157,-1138.0364476162351,-463.9735609355454,-0.5141056560654105,-1.5001667622450734,3,6
EY,604,6,4,11.88,-41.9225993255766,369.5633018422245,55.315592199468725,0.7717253616817391,2.403649074899672,3,6
EY,705,7,5,15.84,-52.884035866091864,-729.8500790608398,-227.27516012176292,0.18141870417746236,0.5841282276141124,3,6
EY,801,8,1,0.0,-3.5008270357790545,-0.1466188387131293,-0.11105960878471455,-87.02673880358316,7.5110614119466845e-06,1,2
EY,802,8,2,3.96,-2.434630489772595,0.7127689525857897,0.4435438036591619,301.9016158398373,7.570587854388577e-07,1,2
EY,803,8,3,7.92,-2.849158236452167,2.5847662077239253,0.8719980418592393,278.3308799477512,5.089220053378085e-06,1,2
EY,804,8,4,11.88,-103.37983558559968,6.785651774524638,2.4334235087439495,202.37035948566412,1.6876201698323712e-06,1,2
EY,805,8,5,15.84,105.88540621988291,22.901553455503766,5.632135867817196,-0.5291759509649111,-1.9512552270577554,1,2
EY,901,9,1,0.0,-3.248242892433254,63.95116781821276,48.44825266506595,-0.1717465529578907,3.2376194847305584e-06,1,2
EY,902,9,2,3.96,-2.2589704974837446,-1494.0576040095298,-720.202212753381,0.3008996610345651,-2.4985198976701373e-06,1,2
EY,903,9,3,7.92,-2.6435889615645465,-1538.1120436403314,-788.6875780622968,-0.40800268434654735,-7.988823437776738e-07,1,2
EY,904,9,4,11.88,-95.92110570592314,-1108.4550979480277,-572.5088604189582,-3.41458942236179,-8.797075206068428e-07,1,2
EY,905,9,5,15.84,-53.00137035379156,-197.2191303940387,-69.84730912431078,0.19812980311646095,0.28570608854388124,1,2
EY,1002,10,2,3.96,-4.080702726910683,-1.194754773058002,-0.7434412322594617,-506.0229032133007,-2.7118273578707885e-05,3,6
EY,1003,10,3,7.92,-4.775519624316207,-4.332241009023254,-1.4615055497733829,-466.5155334647909,-2.6061994844894798e-05,3,6
EY,1004,10,4,11.88,-173.27684314488783,-11.373514364559128,-4.078693056474371,-339.19668613673934,-9.784764984033245e-06,3,6
EY,1005,10,5,15.84,216.0753364829536,-438.2515888193275,66.67826671472035,-28.53016191407194,-86.00230127762195,3,6
EY,1101,11,1,0.0,-2.9780143584147005,58.631115973646025,44.417839144404454,-0.15745024708884134,2.063462435128449e-06,1,2
EY,1102,11,2,3.96,-2.071041467438704,-1369.7642636191715,-660.2872921580195,0.27586743658741597,-1.3315108492173433e-06,1,2
