z_m,slab_id,receptor,tag,area_m2,q_Q_kN_m2,Q_kN
7.92,1000027,beam,477,0.0,4.903325,0.0
7.92,1000027,beam,484,2.480625,4.903325,12.163310578124998
7.92,1000027,beam,501,4.919968,4.903325,24.124202093599997
7.92,1000027,beam,502,4.52722,4.903325,22.198431006499998
7.92,1000027,beam,498,9.447187,4.903325,46.32262819677499
7.92,1000027,beam,477,0.0,1.96133,0.0
7.92,1000027,beam,484,1.035,1.96133,2.0299765499999998
7.92,1000027,beam,501,0.023435,1.96133,0.04596376855
7.92,1000027,beam,502,0.021565,1.96133,0.04229608145
7.92,1000027,beam,498,0.045,1.96133,0.08825985
7.92,1000028,beam,473,6.25,4.903325,30.64578125
7.92,1000028,beam,478,6.25,4.903325,30.64578125
7.92,1000028,beam,283,11.875,4.903325,58.226984374999994
7.92,1000028,beam,286,11.875,4.903325,58.226984374999994
7.92,1000029,beam,478,1.41,4.903325,6.913688249999999
7.92,1000029,beam,485,0.0,4.903325,0.0
7.92,1000029,beam,498,0.045,4.903325,0.220649625
7.92,1000029,beam,503,0.045,4.903325,0.220649625
7.92,1000029,beam,478,4.84,4.903325,23.732093
7.92,1000029,beam,485,0.0,4.903325,0.0
7.92,1000029,beam,498,4.08,4.903325,20.005565999999998
7.92,1000029,beam,503,4.08,4.903325,20.005565999999998
7.92,1000029,beam,478,0.0,4.903325,0.0
7.92,1000029,beam,485,4.84,4.903325,23.732093
7.92,1000029,beam,498,11.83,4.903325,58.00633474999999
7.92,1000029,beam,503,11.83,4.903325,58.00633474999999
7.92,1000029,beam,478,0.0,1.96133,0.0
7.92,1000029,beam,485,1.41,1.96133,2.7654753
7.92,1000029,beam,498,0.045,1.96133,0.08825985
7.92,1000029,beam,503,0.045,1.96133,0.08825985
7.92,1000030,beam,474,6.25,4.903325,30.64578125
7.92,1000030,beam,479,6.25,4.903325,30.64578125
7.92,1000030,beam,286,11.875,4.903325,58.226984374999994
7.92,1000030,beam,284,11.875,4.903325,58.226984374999994
7.92,1000031,beam,479,1.41,4.903325,6.913688249999999
7.92,1000031,beam,486,0.0,4.903325,0.0
7.92,1000031,beam,503,0.045,4.903325,0.220649625
7.92,1000031,beam,499,0.045,4.903325,0.220649625
7.92,1000031,beam,479,4.84,4.903325,23.732093
7.92,1000031,beam,486,0.0,4.903325,0.0
7.92,1000031,beam,503,4.08,4.903325,20.005565999999998
7.92,1000031,beam,499,4.08,4.903325,20.005565999999998
7.92,1000031,beam,479,0.0,4.903325,0.0
7.92,1000031,beam,486,4.84,4.903325,23.732093
7.92,1000031,beam,503,11.83,4.903325,58.00633474999999
7.92,1000031,beam,499,11.83,4.903325,58.00633474999999
7.92,1000031,beam,479,0.0,1.96133,0.0
7.92,1000031,beam,486,1.41,1.96133,2.7654753
7.92,1000031,beam,503,0.045,1.96133,0.08825985
7.92,1000031,beam,499,0.045,1.96133,0.08825985
7.92,1000032,beam,475,6.25,4.903325,30.64578125
7.92,1000032,beam,480,6.25,4.903325,30.64578125
7.92,1000032,beam,284,11.875,4.903325,58.226984374999994
7.92,1000032,beam,287,11.875,4.903325,58.226984374999994
7.92,1000033,beam,480,1.41,4.903325,6.913688249999999
7.92,1000033,beam,487,0.0,4.903325,0.0
7.92,1000033,beam,499,0.045,4.903325,0.220649625
7.92,1000033,beam,504,0.045,4.903325,0.220649625
7.92,1000033,beam,480,4.84,4.903325,23.732093
7.92,1000033,beam,487,0.0,4.903325,0.0
7.92,1000033,beam,499,4.08,4.903325,20.005565999999998
7.92,1000033,beam,504,4.08,4.903325,20.005565999999998
7.92,1000033,beam,480,0.0,4.903325,0.0
7.92,1000033,beam,487,4.84,4.903325,23.732093
7.92,1000033,beam,499,11.83,4.903325,58.00633474999999
7.92,1000033,beam,504,11.83,4.903325,58.00633474999999
7.92,1000033,beam,480,0.0,1.96133,0.0
7.92,1000033,beam,487,1.41,1.96133,2.7654753
7.92,1000033,beam,499,0.045,1.96133,0.08825985
7.92,1000033,beam,504,0.045,1.96133,0.08825985
7.92,1000034,beam,476,7.680625,4.903325,37.660600578125
7.92,1000034,beam,481,7.680625,4.903325,37.660600578125
7.92,1000034,beam,287,12.418125,4.903325,60.890102765624995
7.92,1000034,beam,288,4.40325,4.903325,21.590565806249998
7.92,1000034,beam,505,6.604875,4.903325,32.385848709375
7.92,1000035,beam,481,1.555,4.903325,7.624670374999999
7.92,1000035,beam,488,0.0,4.903325,0.0
7.92,1000035,beam,504,0.045,4.903325,0.220649625
7.92,1000035,beam,506,0.005,4.903325,0.024516625
7.92,1000035,beam,481,6.125625,4.903325,30.035930203124998
7.92,1000035,beam,488,0.0,4.903325,0.0
7.92,1000035,beam,504,4.152187,4.903325,20.359522321774996
7.92,1000035,beam,506,3.632187,4.903325,17.809793321775
7.92,1000035,beam,481,0.0,4.903325,0.0
7.92,1000035,beam,488,6.125625,4.903325,30.035930203124998
7.92,1000035,beam,504,12.234037,4.903325,59.987459473025
7.92,1000035,beam,506,5.673937,4.903325,27.821157140524996
7.92,1000035,beam,481,0.0,1.96133,0.0
7.92,1000035,beam,488,1.550425,1.96133,3.04089506525
7.92,1000035,beam,504,0.045,1.96133,0.08825985
7.92,1000035,beam,506,0.003065,1.96133,0.00601147645
7.92,1000036,beam,231,13.09,2.451662,32.09225558
7.92,1000036,beam,232,13.035,2.451662,31.957414169999996
7.92,1000036,beam,227,19.1615,2.451662,46.977521413
7.92,1000036,beam,228,12.215,2.451662,29.947051329999997
7.92,1000037,beam,418,11.16,4.903325,54.721106999999996
7.92,1000037,beam,419,3.78125,4.903325,18.54069765625
7.92,1000037,beam,228,20.29875,4.903325,99.53136834374999
7.92,1000037,beam,229,0.0,4.903325,0.0
7.92,1000037,beam,418,7.965,2.941995,23.432990175
7.92,1000037,beam,419,15.34375,2.941995,45.141235781249996
7.92,1000037,beam,228,0.36125,2.941995,1.06279569375
7.92,1000037,beam,229,23.79,2.941995,69.99006105
7.92,1000038,beam,396,0.03125,2.451662,0.0766144375
7.92,1000038,beam,404,0.03125,2.451662,0.0766144375
7.92,1000038,beam,232,1.75,2.451662,4.2904085
7.92,1000038,beam,238,0.0,2.451662,0.0
7.92,1000038,beam,396,6.21875,3.92266,24.394041875
7.92,1000038,beam,404,6.21875,3.92266,24.394041875
7.92,1000038,beam,232,10.125,3.92266,39.7169325
7.92,1000038,beam,238,11.875,3.92266,46.5815875
7.92,1000039,beam,404,6.25,4.903325,30.64578125
7.92,1000039,beam,411,0.0,4.903325,0.0
7.92,1000039,beam,419,3.75,4.903325,18.38746875
7.92,1000039,beam,424,3.75,4.903325,18.38746875
7.92,1000039,beam,404,0.0,2.941995,0.0
7.92,1000039,beam,411,6.25,2.941995,18.38746875
7.92,1000039,beam,419,12.25,2.941995,36.03943875
7.92,1000039,beam,424,12.25,2.941995,36.03943875
7.92,1000040,beam,237,4.21235,3.92266,16.523616851
7.92,1000040,beam,240,4.2436,3.92266,16.646199976
7.92,1000040,beam,230,11.1858,3.92266,43.878090228000005
7.92,1000040,beam,396,7.446295,3.92266,29.2092835447
7.92,1000040,beam,397,3.708255,3.92266,14.5462235583
7.92,1000040,beam,237,0.03125,2.451662,0.0766144375
7.92,1000040,beam,240,0.0,2.451662,0.0
7.92,1000040,beam,230,0.0,2.451662,0.0
7.92,1000040,beam,396,0.020861,2.451662,0.051144120981999996
7.92,1000040,beam,397,0.010389,2.451662,0.025470316518
7.92,1000041,beam,397,3.1125,3.92266,12.20927925
7.92,1000041,beam,398,3.1375,3.92266,12.307345750000001
7.92,1000041,beam,405,6.25,3.92266,24.516625
7.92,1000041,beam,238,11.875,3.92266,46.5815875
7.92,1000041,beam,233,11.875,3.92266,46.5815875
7.92,1000042,beam,405,6.25,4.903325,30.64578125
7.92,1000042,beam,412,0.0,4.903325,0.0
7.92,1000042,beam,424,3.75,4.903325,18.38746875
7.92,1000042,beam,420,3.75,4.903325,18.38746875
7.92,1000042,beam,405,0.0,2.941995,0.0
7.92,1000042,beam,412,6.25,2.941995,18.38746875
7.92,1000042,beam,424,12.25,2.941995,36.03943875
7.92,1000042,beam,420,12.25,2.941995,36.03943875
7.92,1000043,beam,399,6.25,3.92266,24.516625
7.92,1000043,beam,406,6.25,3.92266,24.516625
7.92,1000043,beam,233,11.875,3.92266,46.5815875
7.92,1000043,beam,239,11.875,3.92266,46.5815875
7.92,1000044,beam,406,6.25,4.903325,30.64578125
7.92,1000044,beam,413,0.0,4.903325,0.0
7.92,1000044,beam,420,3.75,4.903325,18.38746875
7.92,1000044,beam,425,3.75,4.903325,18.38746875
7.92,1000044,beam,406,0.0,2.941995,0.0
7.92,1000044,beam,413,6.25,2.941995,18.38746875
7.92,1000044,beam,420,12.25,2.941995,36.03943875
7.92,1000044,beam,425,12.25,2.941995,36.03943875
7.92,1000045,beam,400,6.25,3.92266,24.516625
7.92,1000045,beam,407,6.25,3.92266,24.516625
7.92,1000045,beam,239,11.875,3.92266,46.5815875
7.92,1000045,beam,234,11.875,3.92266,46.5815875
7.92,1000046,beam,407,6.25,4.903325,30.64578125
7.92,1000046,beam,414,0.0,4.903325,0.0
7.92,1000046,beam,425,3.75,4.903325,18.38746875
7.92,1000046,beam,421,3.75,4.903325,18.38746875
7.92,1000046,beam,407,0.0,2.941995,0.0
7.92,1000046,beam,414,6.25,2.941995,18.38746875
7.92,1000046,beam,425,12.25,2.941995,36.03943875
7.92,1000046,beam,421,12.25,2.941995,36.03943875
7.92,1000047,beam,401,6.25,3.92266,24.516625
7.92,1000047,beam,408,6.25,3.92266,24.516625
7.92,1000047,beam,234,11.875,3.92266,46.5815875
7.92,1000047,beam,241,11.875,3.92266,46.5815875
7.92,1000048,beam,408,6.25,4.903325,30.64578125
7.92,1000048,beam,415,0.0,4.903325,0.0
7.92,1000048,beam,421,3.75,4.903325,18.38746875
7.92,1000048,beam,426,3.75,4.903325,18.38746875
7.92,1000048,beam,408,0.0,2.941995,0.0
7.92,1000048,beam,415,6.25,2.941995,18.38746875
7.92,1000048,beam,421,12.25,2.941995,36.03943875
7.92,1000048,beam,426,12.25,2.941995,36.03943875
7.92,1000049,beam,402,6.205,3.92266,24.3401053
7.92,1000049,beam,409,6.205,3.92266,24.3401053
7.92,1000049,beam,241,11.875,3.92266,46.5815875
7.92,1000049,beam,235,9.79,3.92266,38.4028414
7.92,1000049,beam,402,0.045,4.903325,0.220649625
7.92,1000049,beam,409,0.045,4.903325,0.220649625
7.92,1000049,beam,241,0.0,4.903325,0.0
7.92,1000049,beam,235,2.085,4.903325,10.223432625
7.92,1000050,beam,409,6.25,4.903325,30.64578125
7.92,1000050,beam,416,0.0,4.903325,0.0
7.92,1000050,beam,426,3.75,4.903325,18.38746875
7.92,1000050,beam,422,3.75,4.903325,18.38746875
7.92,1000050,beam,409,0.0,2.941995,0.0
