M_kNm,P_kN,caso,cumple,elemento,extremo,muro_origen,piso,tipo
-1410.154043506292,-2.4236658280178744,EY,True,1203,,12,3,MURO
-1016.2409605439618,-87.94126011699996,EY,True,1204,,12,4,MURO
-1455.0630396183935,-216.075326401658,EY,True,1205,,12,5,MURO
125.94818673313682,-6.397218436389458,EY,True,1301,,13,1,MURO
-2942.457283384755,-4.448904325192302,EY,True,1302,,13,2,MURO
-3029.2199390913383,-5.206370790402104,EY,True,1303,,13,3,MURO
-3070.016588894815,493.10415806812694,EY,True,1304,,13,4,MURO
-3642.851219182936,64.33838473231629,EY,True,1305,,13,5,MURO
0.12580515007338988,-3.0000812063537463,EY,True,1401,,14,1,MURO
-0.6109294848829272,-2.086391223751086,EY,True,1402,,14,2,MURO
-2.215053520886578,-2.441617743257417,EY,True,1403,,14,3,MURO
-5.815049577298524,-88.592680011928,EY,True,1404,,14,4,MURO
-49.47396309338885,-262.43121503385856,EY,True,1405,,14,5,MURO
34.31006905651902,-1.742684305243916,EY,True,1501,,15,1,MURO
-801.5659139940578,-1.211935243316418,EY,True,1502,,15,2,MURO
-825.2012318161337,-1.4182933357902812,EY,True,1503,,15,3,MURO
-594.689142266546,-51.46192537632544,EY,True,1504,,15,4,MURO
-730.3023508772379,123.98700225607894,EY,True,1505,,15,5,MURO
34.31009213340546,-1.7426819654582353,EY,True,1601,,16,1,MURO
-801.5659289262942,-1.2119320677761038,EY,True,1602,,16,2,MURO
-825.2012428728799,-1.4182927159150722,EY,True,1603,,16,3,MURO
-594.6891445206772,-51.46192573292939,EY,True,1604,,16,4,MURO
-734.4084799614288,138.4442127777799,EY,True,1605,,16,5,MURO
0.10350963886379771,-2.470623186857382,EY,True,1701,,17,1,MURO
27.09209290330036,43.47292634263023,EY,True,1801,,18,1,MURO
-0.8024128902243439,6.995298284533279,EY,True,1901,,19,1,MURO
-66.63214428068332,-0.8316961311882292,EY,True,2001,,20,1,MURO
28.419988322626693,-12.929097408389584,EY,True,2101,,21,1,MURO
-201.0667010632901,47.9346686485002,EY,True,2201,,22,1,MURO
-53.34366265576068,27.020496331251195,EY,True,2302,,23,2,MURO
-12399.317336443939,-3.6757532191811606,EY,True,2402,,24,2,MURO
17.05583307277675,3412.875823380823,R,True,101,,1,1,MURO
1225.6638792319782,2724.8754773433657,R,True,102,,1,2,MURO
1291.904697625704,2031.6670202855626,R,True,103,,1,3,MURO
659.6905977021066,1330.4624143357212,R,True,104,,1,4,MURO
289.3351859028644,621.1281929648246,R,True,105,,1,5,MURO
76.97804123015112,1082.988109743601,R,True,201,,2,1,MURO
-1250.6178285684869,864.6689088746082,R,True,202,,2,2,MURO
-1606.3391088055525,644.6970856801335,R,True,203,,2,3,MURO
-1285.889381612552,422.1878996290576,R,True,204,,2,4,MURO
-1133.123829980725,197.09900462563394,R,True,205,,2,5,MURO
-110.6045059590574,3792.7119736083455,R,True,301,,3,1,MURO
886.8908686314614,3011.8284216928396,R,True,302,,3,2,MURO
1010.2368123663341,2229.195361341477,R,True,303,,3,3,MURO
365.9890793970195,1442.0235596904658,R,True,304,,3,4,MURO
-45.72852863744083,654.2071868709897,R,True,305,,3,5,MURO
85.0433129668645,1201.4584934880543,R,True,401,,4,1,MURO
-1231.3824010450692,954.0895017412481,R,True,402,,4,2,MURO
-1592.2437890692356,706.1663427616792,R,True,403,,4,3,MURO
-1268.8377980650137,456.8054062697381,R,True,404,,4,4,MURO
-1118.0132594040952,207.24030930312063,R,True,405,,4,5,MURO
-50.10892477556172,3227.3980746117354,R,True,501,,5,1,MURO
1199.6840142695967,2571.4544618828836,R,True,502,,5,2,MURO
1295.8633332638763,1919.3974398708485,R,True,503,,5,3,MURO
567.5277431090392,838.3038555497876,R,True,504,,5,4,MURO
210.03124984902433,115.77485823750025,R,True,505,,5,5,MURO
217.03042323926547,2548.7966291940256,R,True,601,,6,1,MURO
751.1015206246966,2252.335143576876,R,True,602,,6,2,MURO
149.35541498162513,1874.4277588250957,R,True,603,,6,3,MURO
-423.7622303822944,1217.9599007752865,R,True,604,,6,4,MURO
-284.4428236875359,431.683299659576,R,True,705,,7,5,MURO
-68.33574602760109,1288.5234487750222,R,True,801,,8,1,MURO
1979.0968045357072,1026.6410805185483,R,True,802,,8,2,MURO
2593.7737421399115,766.3103742809656,R,True,803,,8,3,MURO
2073.0242597202277,334.6888246846894,R,True,804,,8,4,MURO
