piso,bloque,z_m,nodo,x_m,y_m,G_kN,Q_kN,peso_sismico_kN,masa_t
1,LT2,3.96,900000,-32.05,0.0,119.72385021624997,12.079724087182498,125.76371225984121,12.824329639565114
1,LT2,3.96,900003,-32.05,16.15,85.78244133249999,3.7696370333999996,87.66725984919998,8.939572621557819
1,LT2,3.96,900005,-32.05,11.885,164.44760255999998,40.49306804627,184.694136583135,18.833560551578266
1,LT2,3.96,900006,-24.55,11.885,167.40296349999997,73.07272018593748,203.93932359296872,20.796023473150232
1,LT2,3.96,900007,-32.05,4.265,176.18317614999995,43.337198563259996,197.85177543162996,20.175266317410124
1,LT2,3.96,900008,-24.55,4.265,138.4289095,58.0354482421875,167.44663362109375,17.074804711200436
1,LT2,3.96,900009,-28.3,0.0,121.29309204999997,42.6066026479275,142.59639337396374,14.540785423560925
1,LT2,3.96,900010,-28.3,16.15,141.29641004999996,43.3680664651325,162.98044328256623,16.619380041356248
1,LT2,3.96,900011,-24.55,0.0,129.36833785,47.356847312424996,153.04676150621248,15.606426405165116
1,LT2,3.96,900012,-24.55,16.15,151.57904284999998,49.015357767074995,176.08672173353747,17.95584850418211
1,LT2,3.96,900013,-15.8,0.0,222.1512675,95.001921875,269.65222843749996,27.49687492033467
1,LT2,3.96,900014,-15.8,16.15,285.56964800000003,116.09602602499999,343.61766101250004,35.03925
1,LT2,3.96,900015,-5.8,0.0,231.80539450000003,100.055411203125,281.83310010156254,28.738978152739474
1,LT2,3.96,900016,-5.8,16.15,297.41427749999997,121.39902104574999,358.113788022875,36.517443573786665
1,LT2,3.96,900129,-24.55,7.25,189.62242179999998,79.22260524237498,229.23372442118747,23.375334535359933
1,LT2,3.96,900130,-15.8,7.25,405.29045649999995,197.8393571,504.21013504999996,51.41512494582758
1,LT2,3.96,900131,-5.8,7.25,420.6093315,207.35327859749998,524.28597079875,53.4622904660358
1,LT2,3.96,900132,-28.3,11.885,204.70222999999996,83.11325829810498,246.25885914905245,25.111415126373682
1,LT2,3.96,900133,-28.3,4.265,178.09843599999996,70.15425133928748,213.1755616696437,21.73785764452119
1,LT2,3.96,3000004,-32.05,-1.09,31.747068045000006,-0.0,31.747068045000006,3.2373000000000007
1,LT2,3.96,3000005,-32.05,0.36749999999999994,53.1544946625,-0.0,53.1544946625,5.42025
1,LT2,3.96,3000006,-32.05,1.825,42.45078135375,-0.0,42.45078135375,4.328775
