caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
Q,48,COLUMN,I,40.0,0.0,7.92,11.88,200401,300401,74,22,351.0159308888352,224.68678954746287,126.32914134137235,OK
Q,49,COLUMN,I_prima,45.0,0.0,7.92,11.88,200451,300451,75,23,374.89959001148753,341.0858417848754,33.81374822661212,OK
Q,50,COLUMN,E,0.0,7.25,7.92,11.88,201001,301001,76,24,266.3042385142084,193.7811847671565,72.5230537470519,OK
Q,51,COLUMN,F,10.0,7.25,7.92,11.88,201101,301101,77,25,782.9420540114847,534.4604062492195,248.4816477622652,OK
Q,52,COLUMN,G,20.0,7.25,7.92,11.88,201201,301201,78,26,845.6420728538122,546.9520600650325,298.69001278877977,OK
Q,53,COLUMN,H,30.0,7.25,7.92,11.88,201301,301301,79,27,923.7728596168681,620.8920615259424,302.88079809092574,OK
Q,54,COLUMN,I,40.0,7.25,7.92,11.88,201401,301401,80,28,657.1561133729838,419.6203098641541,237.5358035088297,OK
Q,55,COLUMN,I_prima,45.0,7.25,7.92,11.88,201451,301451,81,29,613.7907289858775,540.3009312207472,73.48979776513033,OK
Q,56,COLUMN,E,0.0,16.15,7.92,11.88,202001,302001,82,30,157.88984744608402,-39.16112316817039,197.05097061425442,OK
Q,57,COLUMN,F,10.0,16.15,7.92,11.88,202101,302101,83,31,564.9374345427074,403.20336776073367,161.7340667819737,OK
Q,58,COLUMN,G,20.0,16.15,7.92,11.88,202201,302201,84,32,576.5586432659311,404.627928481423,171.9307147845081,OK
Q,59,COLUMN,H,30.0,16.15,7.92,11.88,202301,302301,85,33,589.6151835809193,413.5829403544692,176.03224322645008,OK
Q,60,COLUMN,I,40.0,16.15,7.92,11.88,202401,302401,86,34,409.103783061169,273.1890966290463,135.91468643212272,OK
Q,61,COLUMN,I_prima,45.0,16.15,7.92,11.88,202451,302451,87,35,416.72176773442544,376.38078667182396,40.340981062601486,OK
Q,62,COLUMN,1B,-20.8,16.15,7.92,11.88,702001,703001,88,36,563.8326016242771,329.34694282434356,234.48565879993356,OK
Q,63,COLUMN,1C,-10.8,16.15,7.92,11.88,702002,703002,89,37,601.3687541232823,354.33054879641406,247.03820532686825,OK
Q,64,COLUMN,1D,-0.8,16.15,7.92,11.88,702003,703003,90,38,135.92969466387817,213.44160140938527,-77.5119067455071,OK
Q,65,COLUMN,2A,-28.3,7.25,7.92,11.88,702004,703004,91,39,615.2268980284551,352.6638141905366,262.56308383791855,OK
Q,66,COLUMN,2B,-20.8,7.25,7.92,11.88,702005,703005,92,40,818.2997248824336,469.13135676321474,349.1683681192188,OK
Q,67,COLUMN,2C,-10.8,7.25,7.92,11.88,702006,703006,93,41,918.4917398992242,527.984329944963,390.5074099542612,OK
Q,68,COLUMN,3B,-20.8,0.0,7.92,11.88,702007,703007,94,42,451.9008303580946,260.9839865174832,190.91684384061142,OK
Q,69,COLUMN,3C,-10.8,0.0,7.92,11.88,702008,703008,95,43,488.94820241916204,286.13789599083117,202.81030642833088,OK
Q,70,COLUMN,E,0.0,0.0,11.88,15.84,300001,400001,96,44,18.504667736253484,110.24347103512754,-91.73880329887406,OK
Q,71,COLUMN,F,10.0,0.0,11.88,15.84,300101,400101,97,45,279.1733489555127,136.04904629785688,143.12430265765585,OK
Q,72,COLUMN,G,20.0,0.0,11.88,15.84,300201,400201,98,46,441.87139808418425,243.67554637613404,198.1958517080502,OK
Q,73,COLUMN,H,30.0,0.0,11.88,15.84,300301,400301,99,47,518.7023196527103,317.15114239410264,201.5511772586077,OK
Q,74,COLUMN,I,40.0,0.0,11.88,15.84,300401,400401,100,48,224.68678954746287,145.19375640184597,79.49303314561689,OK
Q,75,COLUMN,I_prima,45.0,0.0,11.88,15.84,300451,400451,101,49,341.0858417848754,189.76449637955383,151.32134540532158,OK
Q,76,COLUMN,E,0.0,7.25,11.88,15.84,301001,401001,103,50,193.7811847671565,127.72543320221378,66.05575156494272,OK
